# Tatoeba English short-word priors; generated by generate_short_word_ngrams.py
# previous<TAB>next<TAB>weight or prior<TAB>previous<TAB>next<TAB>weight
had	no	12
had	the	12
had	to	13
hair	is	11
half	an	11
halloween	is	12
handful	of	13
handwriting	is	12
hang	out	12
hanging	out	12
happen	to	12
happened	to	13
happy	to	12
hard	for	11
hard	to	14
harmful	to	11
has	an	12
has	got	11
has	no	12
has	not	11
has	the	12
has	to	12
have	an	12
have	any	13
have	fun	11
have	it	11
have	my	11
have	no	12
have	not	11
have	one	11
have	the	12
have	to	14
have	two	11
have	you	14
haven't	yet	11
haven't	you	11
he	can	12
he	did	12
he	got	12
he	had	13
he	has	13
he	is	14
he	may	11
he	put	12
he	ran	11
he	sat	11
he	saw	12
he	was	14
he	who	11
he'll	be	12
he's	an	11
he's	got	11
he's	in	11
he's	not	12
he's	the	11
hear	the	12
heard	the	12
height	of	11
hello	to	11
help	her	12
help	him	12
help	me	13
help	us	12
help	you	13
her	car	11
her	for	11
her	in	11
her	own	11
her	son	11
her	to	12
here	and	11
here	are	11
here	for	12
here	in	11
here	is	12
here	to	12
hesitant	to	12
hesitate	to	13
hi	to	11
him	and	11
him	at	11
him	for	12
him	in	12
him	on	11
him	the	11
him	to	13
him	up	11
himself	in	11
himself	to	11
his	car	12
his	dog	12
his	job	11
his	mom	11
his	new	11
his	own	12
his	son	11
his	way	12
hit	the	12
hobby	is	12
hole	in	12
holes	in	11
home	by	11
honesty	is	11
hope	to	11
hope	you	12
house	is	13
house	was	12
how	are	12
how	can	12
how	did	12
how	do	12
how	far	11
how	is	11
how	it	11
how	old	11
how	to	13
how	was	11
how	you	12
humans	are	12
hundreds	of	14
hurried	to	11
hurry	up	12
i	am	13
i	ate	11
i	can	13
i	did	12
i	do	12
i	get	11
i	go	11
i	got	12
i	had	13
i	may	11
i	met	11
i	put	11
i	ran	11
i	saw	12
i	see	12
i	was	14
i'd	be	11
i'll	be	12
i'll	do	11
i'll	get	11
i'll	go	11
i'll	try	11
i'm	in	11
i'm	not	14
i'm	so	11
i'm	the	12
i'm	too	11
i've	got	13
i've	had	11
if	he	12
if	it	12
if	she	11
if	the	12
if	we	12
if	you	15
ignorant	of	11
impact	on	11
importance	of	12
important	to	13
impossible	to	13
impressed	by	11
in	all	11
in	an	12
in	any	11
in	bed	11
in	her	12
in	his	13
in	it	11
